Residuo,Classe,Tipo,Ecoponto,IlhaEcologica,LixeiraSubterranea,RetornaMachine,AssociacaodeCatadores,Miniecoponto,CentrodeRecondicionamentoTecnologicoCITINOVA,Reciclo,Tiratreco,ColetaDomiciliar,NaRua,EscolasMunicipaisPEVs,ColetadePilhas,Ecoenel,DescarteMedicamentos,LogisticaReversa
Negativos de filmes,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Óculos,Comum,Misto,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Óleo De Cozinha,Reciclável,Tóxico,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
Óleos,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Óleos automotivos,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Outros eletrodomésticos (grills, panelas à vapor, etc.)",Reciclável,Eletrônicos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Outros eletrônicos (fones de ouvido, webcams, etc.)",Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Pacotes laminados (salgadinho, café, sopa, etc.)",Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
Palhas de aço,Reciclável,Metal,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
Panelas,Reciclável,Metal,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0
Papéis de fax (papel termo-sensível),Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Papel,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Papel alumínio,Reciclável,Metal (Alumínio),1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Papel Branco,Reciclável,Papel,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Papel e Papelão,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Papel higiênico,Comum,Misto,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Papel Misto,Reciclável,Papel,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Papelão,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Pet Azul,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Pet Cristal,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Pet Dragão,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Pet Óleo,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Pet Verde,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Pilhas,Reciclável,Tóxico,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Placas eletrônicas de computador,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Plantas,Comum,Orgânico/Poda,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Plástico,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Plástico bolha,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"Plastico Pet - Embalagens de Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Plástico,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
Plásticos flexíveis,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"Plasticos PP e PE - Embalagens de Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Plástico,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
Pneus,Reciclável,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Poda,Comum,Orgânico/Poda,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Potes de alimento,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
PP Cadeira,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
PP Caixa,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
Projetores Digitais,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
PVC Cano,Reciclável,Plástico,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Rádios,Reciclável,Eletrônicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Reatores,Reciclável,Eletrônicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Receivers,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Rejeito (não reciclável),Comum,Misto,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Remédios,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Resíduos alimentares,Comum,Orgânico,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Revistas,Reciclável,Papel,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Roupas,Reciclável,Têxtil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sacolas - outras,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Sacolas - supermercado,Reciclável,Plástico,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Secadores de cabelo,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Solventes,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sucata,Reciclável,Volumoso,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Talheres,Reciclável,Metal (Aço Inox),1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Tampas de papel alumínio,Reciclável,Metal (Alumínio),1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
Tapetes e carpetes,Reciclável,Têxtil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teclados de computador,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Televisores de LCD/LED/Plasma,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Televisores de tubo,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Tetra Pak,Reciclável,Misto,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
Tijolos,Reciclável,Entulho,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Tintas,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tocadores de CD/DVD/Blu-ray Automotivo,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tocadores de CD/DVD/Blu-ray Doméstico,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tocadores de MP3 e MP4,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tubos de água e esgoto,Reciclável,Metal (Cobre),1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Tubos de creme dental,Reciclável,Plástico,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Utensílios de cerâmica para cozinha,Reciclável,Entulho,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Vassouras e escovas,Reciclável,Misto,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Veículos,Especial,Volumoso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vernizes,Especial,Tóxico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vestuário,Reciclável,Têxtil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Videocassetes,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Videogames,Reciclável,Eletrônicos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Vidro,Reciclável,Vidro,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0
"Vidro - Embalagens de Alimentos e Bebidas de até 2,5L com exceção de Lácteos",Reciclável,Vidro,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0
Vidro Morgana,Reciclável,Vidro,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Vidro Vinho,Reciclável,Vidro,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Vidro Ypióca,Reciclável,Vidro,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Vidro Ypióca 15,Reciclável,Vidro,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Vidros de Janela,Reciclável,Vidro,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0
