Nome,Ponto_de_Coleta,Endereco,Bairro,Bonificacao,Horario_de_funcionamento,x,y
Ecoponto Vila Velha,Ecoponto,Rua Jasmin s/n (Por trás do Liceu),Vila Velha,Sim,"08:00–12:00, 14:00–17:00",-38.6004496,-3.711365194
Ecoponto Vila Velha II,Ecoponto,Av. Major Assis x Rua Cecília,Vila Velha,Sim,"08:00–12:00, 14:00–17:00",-38.6057667,-3.719281416
Ecoponto Vila Do Mar,Ecoponto,Rua Lídia Petri Gonçalves (em frente ao numero 1140),Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.58240062,-3.695408694
Ecoponto Barra Do Ceará,Ecoponto,Rua Graça Aranha x Tv. 14 de Maio,Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.57322902,-3.708118701
Ecoponto Barra Do Ceará II,Ecoponto,Av. Francisco Sá x Rua Helenice Paiva Menezes,Barra do Ceará,Sim,"08:00–12:00, 14:00–17:00",-38.58596856,-3.706662038
Ecoponto Cristo Redentor,Ecoponto,Av Presidente Castelo Branco em frente ao número 3833,Cristo redentor,Sim,"08:00–12:00, 14:00–17:00",-38.5670514,-3.708639815
Ecoponto Pirambu II,Ecoponto,Rua Santa Rosa (Prox. Nº80),Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.55282426,-3.710480204
Ecoponto Pirambu,Ecoponto,Rua Costa Matos x Vila do Mar,Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.54536774,-3.713465287
Ecoponto  Leste Oeste,Ecoponto,Av. Leste Oeste (PROX. Nº 2958),Pirambu,Sim,"08:00–12:00, 14:00–17:00",-38.55536583,-3.71212195
Ecoponto Carlito Pamplona,Ecoponto,Rua Dom Hélio Campos x Av. Tenente Lisboa,Carlito Pamplona,Sim,"08:00–12:00, 14:00–17:00",-38.55629835,-3.71769404
Ecoponto Jacarecanga,Ecoponto,Av. Jose Jatahy com Av. Sargento Herminio,Jacarecanga,Sim,"08:00–12:00, 14:00–17:00",-38.54602756,-3.724484836
Ecoponto Floresta,Ecoponto,Rua General Mário Hermes com Rua Adolfo Bezerra de Menezes,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.57675368,-3.714475141
Ecoponto Álvaro Weyne,Ecoponto,"Rua José Acioli, esquina com Av. Tenente Lisboa",Álvaro Weyne,Sim,"08:00–12:00, 14:00–17:00",-38.56872042,-3.720825433
Ecoponto Lagoa Do Urubu I,Ecoponto,Rua Maria Souza com Rua Valmir,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.57760296,-3.719425763
Ecoponto Lagoa Do Urubu II,Ecoponto,Rua Frei Odilon com Rua 01,Floresta,Sim,"08:00–12:00, 14:00–17:00",-38.5751155,-3.724072235
Ecoponto Verdes Mares,Ecoponto,"Rua Júlio Azevedo, 688",Papicu,Sim,"08:00–12:00, 14:00–17:00",-38.47870048,-3.736922082
Ecoponto Joaquim Tavora,Ecoponto,Praça Joaquim Tavora,Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.51658933,-3.752306782
Ecoponto Praça Das Flores,Ecoponto,Rua Torres Câmara x Avenida Des. Moreira,Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.49877566,-3.738488322
Ecoponto Varjota,Ecoponto,Av. Antônio Justa x Rua Meruoca,Varjota,Sim,"08:00–12:00, 14:00–17:00",-38.48314828,-3.731581648
Ecoponto Parque Rio Branco,Ecoponto,Av. Visconde do Rio Branco s/n,Joaquim Távora,Sim,"08:00–12:00, 14:00–17:00",-38.52077218,-3.751644538
Ecoponto Vicente Pinzon,Ecoponto,Rua Veneza x Rua Josias Paulo de Sousa,Vicente Pinzon,Sim,"08:00–12:00, 14:00–17:00",-38.47204043,-3.728680412
Ecoponto Praia Do Futuro,Ecoponto,Rua Coronel José Aurélio Câmara x Av. Dioguinho,Vicente Pinzon,Sim,"08:00–12:00, 14:00–17:00",-38.45945227,-3.730755537
Ecoponto Campo Do América,Ecoponto,Rua José Vilar x Rua Edgar Damasceno,Meireles,Sim,"08:00–12:00, 14:00–17:00",-38.50303321,-3.730919097
Ecoponto Luiza Tavora,Ecoponto,"Rua Costa Barros, 1567 ",Aldeota,Sim,"08:00–12:00, 14:00–17:00",-38.50960203,-3.731105107
Ecoponto São Gerardo,Ecoponto,Rua Dr. Hélio Viana x Av. Projetada (Canal),São Gerardo,Sim,"08:00–12:00, 14:00–17:00",-38.56059205,-3.732137699
Ecoponto Bairro Elery,Ecoponto,Rua Gonçalo de Lagos x Rua Catarina Laboure,Ellery,Sim,"08:00–12:00, 14:00–17:00",-38.55768379,-3.722940252
Ecoponto Antonio Bezerra,Ecoponto,Rua Doutor João Guilherme (em frente ao Nº 373),Antônio Bezerra,Sim,"08:00–12:00, 14:00–17:00",-38.58868999,-3.737169395
Ecoponto Jovita Feitosa,Ecoponto,Rua General Bernardo Figueiredo x Rua Cruz Saldanha,Amadeu Furtado,Sim,"08:00–12:00, 14:00–17:00",-38.55290125,-3.73970417
Ecoponto Rodolfo Teófilo,Ecoponto,Rua Ana Neri x Rua Coronel Nunes Melo,Rodolfo Teófilo,Sim,"08:00–12:00, 14:00–17:00",-38.5506092,-3.745979584
Ecoponto Itaóca,Ecoponto,Rua Barão de Canidé x Rua Mundica Paula,Itaoca,Sim,"08:00–12:00, 14:00–17:00",-38.55820888,-3.772442338
Ecoponto Parreão,Ecoponto,Av. Luciano Carneiro x Rua André Chaves,Parreão,Sim,"08:00–12:00, 14:00–17:00",-38.53511604,-3.758410978
Ecoponto Vila Peri,Ecoponto,Rua Antônio Costa Mendes x Tv. Augusto Ribeiro,Vila Peri,Sim,"08:00–12:00, 14:00–17:00",-38.58408275,-3.79019943
Ecoponto Parangaba,Ecoponto,Alameda Oxóssi x Rua Engenheiro José Henrique Frota,Parangaba,Sim,"08:00–12:00, 14:00–17:00",-38.55819039,-3.778512661
Ecoponto Bairro De Fátima,Ecoponto,Av. Eduardo Girão x Av. Luciano Carneiro,Fátima,Sim,"08:00–12:00, 14:00–17:00",-38.53277336,-3.75260904
Ecoponto Damas,Ecoponto,Rua Júlio César (entre as ruas Macedo e Afrodísio Gondim),Damas,Sim,"08:00–12:00, 14:00–17:00",-38.54765547,-3.755323137
Ecoponto Aguanambi,Ecoponto,Av. Aguanambi x Rua José Euclides,Fátima,Sim,"08:00–12:00, 14:00–17:00",-38.52378608,-3.752171143
Ecoponto Bonsucesso,Ecoponto,Rua Emilio de Menezes x Rua Luzia Moreira,Bonsucesso,Sim,"08:00–12:00, 14:00–17:00",-38.59341188,-3.780246667
Ecoponto Granja Portugal,Ecoponto,"Rua Duas Nações, 1029",Granja Portugal,Sim,"08:00–12:00, 14:00–17:00",-38.60299354,-3.781092171
Ecoponto Siqueira,Ecoponto,Rua C x Av. Luiz Montenegro,Siqueira,Sim,"08:00–12:00, 14:00–17:00",-38.61630229,-3.815507554
Ecoponto Granja Lisboa,Ecoponto,Rua LO 02 x Rua NS 02,Granja Lisboa,Sim,"08:00–12:00, 14:00–17:00",-38.6178174,-3.797817197
Ecoponto Aerolândia,Ecoponto,Rua Tenente Roma X Rod. BR 116,Aerolândia,Sim,"08:00–12:00, 14:00–17:00",-38.51708711,-3.768238675
Ecoponto Lagoa Da Zeza,Ecoponto,Av. Rogaciano Leite x Rua Castro de Alencar,Jardim das Oliveiras,Sim,"08:00–12:00, 14:00–17:00",-38.50259481,-3.782836275
Ecoponto Tancredo Neves,Ecoponto,Av. José Leon x Rua Da Cachoeira,Messejana,Sim,"08:00–12:00, 14:00–17:00",-38.50898285,-3.786730422
Ecoponto Cidade Dos Funcionários,Ecoponto,Rua Dr. José Plutarco x Rua Aluísio Barros Leal,Cidade dos Funcionários,Sim,"08:00–12:00, 14:00–17:00",-38.49212179,-3.789668544
Ecoponto Cidade Dos Funcionários II,Ecoponto,Av.  Desembargador Gonzaga x Av. Heitor de Oliveira Albuquerque,Cidade dos Funcionários,Sim,"08:00–12:00, 14:00–17:00",-38.5025878,-3.790758976
Ecoponto Messejana,Ecoponto,Rua Nicolau Coelho x Rua 24 de Novembro,Messejana,Sim,"08:00–12:00, 14:00–17:00",-38.492217,-3.821396619
Ecoponto Messejana II,Ecoponto,Rua  José Hipólito – Em frente ao nº 819,Messejana,Sim,"08:00–12:00, 14:00–17:00",-38.48845798,-3.834693303
Ecoponto Lagoa Redonda,Ecoponto,Rua Paulo Coelho x Rua Paulo Freire,Lagoa Redonda,Sim,"08:00–12:00, 14:00–17:00",-38.46894677,-3.828806631
Ecoponto São Bento,Ecoponto,Tv. José Teixeira Costa x Rua São Benedito,São Bento,Sim,"08:00–12:00, 14:00–17:00",-38.48102892,-3.847464864
Ecoponto Paupina,Ecoponto,Rua Primeiro de Abril x Rua Shirley,Paupina,Sim,"08:00–12:00, 14:00–17:00",-38.49400927,-3.868277842
Ecoponto São Bento II,Ecoponto,Rua Oliveira Lemos em frente ao nº 199,São Bento,Sim,"08:00–12:00, 14:00–17:00",-38.4810832,-3.853104558
Ecoponto Cocó,Ecoponto,Rua Padre Antonio Tomas (Entre via expressa e Eng Santana Jr),Cocó,Sim,"08:00–12:00, 14:00–17:00",-38.4886038,-3.743478745
Ecoponto Cidade 2000,Ecoponto,Rua Giselda Cysne x Rua Sólon Carvalho,Cidade 2000,Sim,"08:00–12:00, 14:00–17:00",-38.47278256,-3.752557706
Ecoponto Guararapes,Ecoponto,Av. Washington Soares (enfrente ao iguatemi),Guararapes,Sim,"08:00–12:00, 14:00–17:00",-38.48896483,-3.757950553
Ecoponto Edson Queiroz,Ecoponto,Rua Vereador José Batista x Rua Hil de Moraes,Edson Queiroz,Sim,"08:00–12:00, 14:00–17:00",-38.47521706,-3.773906705
Ecoponto Luciano Cavalcante,Ecoponto,Rua Jaime Leonel x Rua Monsenhor Carneiro da Cunha,Engenheiro Luciano Cavalcante,Sim,"08:00–12:00, 14:00–17:00",-38.49691685,-3.773757591
Ecoponto Sapiranga,Ecoponto,Av. Edilson Brasil Soares x Rua Bill Cartaxo,Sapiranga,Sim,"08:00–12:00, 14:00–17:00",-38.47423919,-3.789145547
